address,category,city,country,employees,founded,fundation_year,investors,link,market_cap,name,ownership,revenue,satus,stage,telephone,total_raised,type,unnamed,valuation,full_address,latitude,longitude
,NBFC,Trivandrum/Thiruvananthapuram Kerala India,,,,1887 (136 yrs old),,,,Muthoot Fincorp,Private,,,,,,,,,Trivandrum/Thiruvananthapuram Kerala India,8.4882267,76.947551
,IT Services & Consulting,Moline Illinois United States USA,,,,2001 (22 yrs old),,,,John Deere,Private,,,,,,,,,Moline Illinois United States USA,,
,IT Services & Consulting,San Jose California United States USA,,,,2000 (23 yrs old),,,,GlobalLogic,Private,,,,,,,,,San Jose California United States USA,,
,Hospitality,Ypsilanti Michigan United States USA,,,,1960 (63 yrs old),,,,Dominos Pizza,Public,,,,,,,,,Ypsilanti Michigan United States USA,,
,NBFC,Chennai Tamil Nadu India,,,,1978 (45 yrs old),,,,Cholamandalam Investment & Finance,Private,,,,,,,,,Chennai Tamil Nadu India,13.0836939,80.270186
,FMCG,Bangalore/Bengaluru Karnataka India,,,,1945 (78 yrs old),,,,Wipro Consumer Care & Lighting,Private,,,,,,,,,Bangalore/Bengaluru Karnataka India,12.98815675,77.62260003796
,NBFC,Mumbai Maharashtra India,,,,1994 (29 yrs old),,,,L&T Financial Services,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,Insurance,Mumbai Maharashtra India,,,,2001 (22 yrs old),,,,SBI Life Insurance Company,Government,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,,,,,,,,,,Capgemini Technology Services India Limited,,,,,,,,,,,,
,IT Services & Consulting,Southborough Massachusetts United States USA,,,,1996 (27 yrs old),,,,Virtusa Consulting Services,Private,,,,,,,,,Southborough Massachusetts United States USA,,
,Financial Services,San MateoCalifornia United States,,,,2011 (12 yrs old),,,,Axis Direct,Private,,,,,,,,,San MateoCalifornia United States,,
,Real Estate,Mumbai Maharashtra India,,,,1945 (78 yrs old),,,,KEC International,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,Pharma,Hyderabad/Secunderabad Telangana India,,,,1993 (30 yrs old),,,,Hetero Drugs,Private,,,,,,,,,Hyderabad/Secunderabad Telangana India,17.442473907634827,78.50469052729599
,Consumer Electronics & Appliances,Seoul Seoul South Korea,,,,1958 (65 yrs old),,,,LG Electronics,Public,,,,,,,,,Seoul Seoul South Korea,37.5545547,126.9707793
,IT Services & Consulting,Bangalore India,,,,1945 (78 yrs old),,,,Wipro Infotech,Private,,,,,,,,,Bangalore India,12.98815675,77.62260003796
,Auto Components,Noida Uttar Pradesh India,,,,1986 (37 yrs old),,,,Motherson Sumi Systems,Public,,,,,,,,,Noida Uttar Pradesh India,28.5706333,77.3272147
,Facility Management Services,Issy les Moulineaux France,,,,2008 (15 yrs old),,,,Sodexo,Private,,,,,,,,,Issy les Moulineaux France,48.8250508,2.273457
,Internet,BangaloreKarnataka India,,,,2014 (9 yrs old),,,,Swiggy,Private,,,,,,,,,BangaloreKarnataka India,,
,Industrial Machinery,Pune Maharashtra India,,,,1980 (43 yrs old),,,,Thermax,Public,,,,,,,,,Pune Maharashtra India,18.64486265,73.92241565390222
,Healthcare,Minnesota United States USA,,,,1977 (46 yrs old),,,,Optum,Private,,,,,,,,,Minnesota United States USA,46.28264875,-96.07457445378682
,Pharma,Illinois City Illinois United States USA,,,,1991 (32 yrs old),,,,Abbott Healthcare,Public,,,,,,,,,Illinois City Illinois United States USA,,
,Pharma,Ahmedabad Gujrat India,,,,2000 (23 yrs old),,,,Intas Pharmaceuticals,Private,,,,,,,,,Ahmedabad Gujrat India,,
,Pharma,Mumbai Maharashtra India,,,,1986 (37 yrs old),,,,Macleods Pharmaceuticals,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,Auto Components,Noida Uttar Pradesh India,,,,1985 (38 yrs old),,,,Subros,Public,,,,,,,,,Noida Uttar Pradesh India,28.5706333,77.3272147
