company_id,company_name,trade_name,industry,sector,categories,company_status,company_type,address,postal_code,city,country,state,foundation_year,registration_date,website,rank,market_cap_or_valuation,number_of_employees,ceo,founder,assets,profit_or_net_income,revenue,total_funding_raised,share_price,change_1_day,change_1_year,debts,phone,sic_code,emtak_code,nace_code,facebook,twitter,pinterest,instagram,investors,region,notes_or_description,modified
,nurol gayrimenkul yatirim ortakligi a.s | reysas gayrimenkul yatirim ortakligi a.s | vakif menkul kiymet yatirim ortakligi a.s | kiler gayrimenkul yatirim ortakligi a.s | ata gayrimenkul yatirim ortakligi a.s | trend gayrimenkul yatirim ortakligi a.s | marti gayrimenkul yatirim ortakligi a.s | ozderici gayrimenkul yatirim ortakligi a.s | sinpas gayrimenkul yatirim ortakligi a.s | korfez gayrimenkul yatirim ortakligi a.s | akfen gayrimenkul yatirim ortakligi a.s | servet gayrimenkul yatirim ortakligi a.s | vakif gayrimenkul yatirim ortakligi | ozak gayrimenkul yatirim ortakligi a.s | pera gayrimenkul yatirim ortakligi | yesil yatirim anonim sirketi | akis gayrimenkul yatirim ortakligi a.s | halk gayrimenkul yatirim ortakligi a.s | akmerkez gayrimenkul yatirim ortakligi a.s | deniz gayrimenkul yatirim ortakligi a.s | yesil gayrimenkul yatirim ortakligi a.s | alarko gayrimenkul yatirim ortakligi a.s,,,,,,,,,istanbul,turkey,,,,https://disfold.com/company/nurol-gayrimenkul-yatirim-ortakligi-as/ | https://disfold.com/company/akis-gayrimenkul-yatirim-ortakligi-as/ | https://disfold.com/company/ozak-gayrimenkul-yatirim-ortakligi-as/ | https://disfold.com/company/yesil-gayrimenkul-yatirim-ortakligi-as/ | https://disfold.com/company/ata-gayrimenkul-yatirim-ortakligi-as/ | https://disfold.com/company/korfez-gayrimenkul-yatirim-ortakligi-as/ | https://disfold.com/company/marti-gayrimenkul-yatirim-ortakligi-as/ | https://disfold.com/company/deniz-gayrimenkul-yatirim-ortakligi-as/ | https://disfold.com/company/akmerkez-gayrimenkul-yatirim-ortakligi-as/ | https://disfold.com/company/vakif-menkul-kiymet-yatirim-ortakligi-as/ | https://disfold.com/company/kiler-gayrimenkul-yatirim-ortakligi-as/ | https://disfold.com/company/sinpas-gayrimenkul-yatirim-ortakligi-as/ | https://disfold.com/company/akfen-gayrimenkul-yatirim-ortakligi-as/ | https://disfold.com/company/trend-gayrimenkul-yatirim-ortakligi-as/ | https://disfold.com/company/reysas-gayrimenkul-yatirim-ortakligi-as/ | https://disfold.com/company/halk-gayrimenkul-yatirim-ortakligi-as/ | https://disfold.com/company/yesil-yatirim-holding-anonim-sirketi/ | https://disfold.com/company/vakif-gayrimenkul-yatirim-ortakligi-as/ | https://disfold.com/company/pera-gayrimenkul-yatirim-ortakligi-as/ | https://disfold.com/company/ozderici-gayrimenkul-yatirim-ortakligi-as/ | https://disfold.com/company/alarko-gayrimenkul-yatirim-ortakligi-as/ | https://disfold.com/company/servet-gayrimenkul-yatirim-ortakligi-as/,,₺1.97 billion | ₺4.32 billion | ₺1.06 billion | ₺2.98 billion | ₺88.0 million | ₺2.16 billion | ₺1.74 billion | ₺2.33 billion | ₺1.88 billion | ₺159.6 million | ₺520.0 million | ₺193.1 million | ₺213.3 million | ₺6.14 billion | ₺320.7 million | ₺1.91 billion | ₺365.5 million | ₺3.86 billion | ₺183.9 million | ₺636.3 million | ₺2.04 billion,7 | not found | 4 | 9 | 241 | 27 | 20 | 39 | 3 | 197 | 42 | 49 | 6 | 60 | 13 | 21 | 17 | 547 | 15,not found | mr. sertac fuad karaagaoglu,,,,,,,,,,,,,,,,,,,,,True
,al rajhi for cooperative insurance | al alamiya for cooperative insurance,,,,,,,,,riyadh,saudi arabia,,,,https://disfold.com/company/al-alamiya-for-cooperative-insurance-company/ | https://disfold.com/company/al-rajhi-company-for-cooperative-insurance/,,sr869.0 million | sr3.34 billion,not found,mr. khalid jaafar mostafa allagany | not found,,,,,,,,,,,,,,,,,,,,,True
76 | 4236,alabama power,,,,,,,600 n 18th st,352032200,birmingham,united states,alabama(al),,,https://www.info-clipper.com/en/company/united-states/alabama-power-company.usd43w60.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
4573 | 1757,alba bioscience,,,,,,,5 james hamilton way milton bridge,eh26 0bf,penicuik,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/alba-bioscience-limited.gbd8jj681.html,,,,,,,,,,,,,,,,,,,,,,,,single address,False
1232 | 4098,alberghi gold,,,,,,,via francesco caracciolo 14,80122,napoli,italy,italy,,,https://www.info-clipper.com/en/company/italy/alberghi-gold-srl.itd7b0qg2.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
,albion enterprise vct | albion development vct,,,,,,,,,london,united kingdom,,,,https://disfold.com/company/albion-enterprise-vct-plc/ | https://disfold.com/company/albion-development-vct-plc/,,£93.5 million | £94.2 million,not found,not found,,,,,,,,,,,,,,,,,,,,,True
,abacus property | ale property,,,,,,,,,sydney,australia,,,,https://disfold.com/company/ale-property-group/ | https://disfold.com/company/abacus-property-group/,,a$19.56 billion | a$2.25 billion,not found,not found,,,,,,,,,,,,,,,,,,,,,True
571 | 3717,alexela energia,,,,,,,roseni tn 11,10111,tallinn,estonia,estonia,,,https://www.info-clipper.com/en/company/estonia/alexela-energia-as.eed61wie9.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
1716 | 4595,ali,carpigiani group,,,,,,via piero gobetti 2/a,20063,cernusco sul naviglio,italy,italy,,,https://www.info-clipper.com/en/company/italy/ali-group-srl.itd799l70.html,,,,,,,,,,,,,,,,,,,,,,,, | headquarter,False
,alinma tokio marine | alinma bank,,,,,,,,,riyadh,saudi arabia,,,,https://disfold.com/company/alinma-bank/ | https://disfold.com/company/alinma-tokio-marine-company/,,sr757.7 million | sr76.56 billion,"3,280 | not found",not found,,,,,,,,,,,,,,,,,,,,,True
